Speaker 109	f	1	1	1	i	i	i	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ɛ̃	1	1	a	1	1	1	1	1	ɛ	ɛ	ɛ	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ɛ	1	1	1	1	1	1	1	1	1	1	1	1	ɛ	1	1	1	1	1	1	1	1	1	1	1	?ɨj	?ɨj	?ɨj	ɵ	ɵ	ɵ	ə̃	ə̃	ɵ̃	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	a	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ã	ã	ã	1	1	1	1	1	1	0	0	0	1	1	1	1	1	u	1	1	1	1	1	1	1	1	1	u	u	u	1	1	1	ɔ̃	ɔ̃	ɔ̃	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	ɔ	1	ɔ	1	1	1	ɔ	1	1	1	1	1	ɔ	1	1	1	ɔ̃	1	1	1	1	1	1	1	1	1	1	226	in the first instance of tIM, speaker 109 seems to hv pronounced tI, In mhaje aavayk saang also, the pronunciation of e is difficult to identify bcz of the following diphthong A in aavayk. Also for mhajEM pustak kEnnA haDUn ditlO example, the EM in mhajEM is not very prominently heard. 	
	count	5	4	3	5	3	3	5	3	3	5	3	3	5	3	3	5	4	3	5	3	3	5	3	3	5	3	3	5	3	3	5	3	3	5	4	3	5	4	2	5	4	3	5	3	3	5	3	3	5	3	3	1	1	5	3	3	5	3	3	1	5	3	3	5	4	4	5	3	3	5	3	3	5	4	3		5	3	3	5	3	3	4	5	4	5	3	3	5	4	2	5	4	3	5	4	3	5	4	3	5	3	3	5	4	3	4	3	3	4	3	3	5	3	3	5	3	3	5	3	3	5	4	4	5	4	3	5	3	3	5	3	3	5	3	3	5	4	3	5	4	3	5	3	4	5	3	3	5	3	3	5	3	3	5	3	3	5	4	3	5	3	3	5	4	4	5	4	3	5	4	3	5	3	3	5	4	3	5	4	3	5	4	4	5	4	3	5	4	3	5	4	3	5	4	3	5	4	4	5	4	3	5	3	5	5	3	4	5	3	3	5	4	4	5	4	3	5	3	3	5	4	3	5	5	3	859		
																																																																																																																																																																																																																																					female	300
	Vowel	Frequency																																																																																																																																																																																																																																			male	559
	i	56	one not labled for speaker 99																																																																																																																																																																																																																																			
	ĩ																																																																																																																																																																																																																																					
	e																																																																																																																																																																																																																																					
	ẽ																																																																																																																																																																																																																																					
	ɛ	72																																																																																																																																																																																																																																				
	ɛ̃	67																																																																																																																																																																																																																																				
	ɨ																																																																																																																																																																																																																																					
	ə̃																																																																																																																																																																																																																																					
	ə																																																																																																																																																																																																																																					
	ɨ̃																																																																																																																																																																																																																																					
	a																																																																																																																																																																																																																																					
	ã																																																																																																																																																																																																																																					
	u																																																																																																																																																																																																																																					
	ũ																																																																																																																																																																																																																																					
	o																																																																																																																																																																																																																																					
	õ																																																																																																																																																																																																																																					
	ɔ																																																																																																																																																																																																																																					
	ɔ̃	73																																																																																																																																																																																																																																				
